Year,Month,mean,min,max,Month_Name
2021,1,3240.3250831087153,1341.82,7019.54,Jan
2021,2,2914.2325882352943,1374.72,7292.33,Feb
2021,3,3094.1968026435734,1436.46,6138.18,Mar
2021,4,3173.529270449521,1475.92,5370.62,Apr
2021,5,3158.1084897769515,1346.99,6518.95,May
2021,6,4256.743701282684,1456.71,6904.55,Jun
2021,7,4205.194913595934,1393.18,7093.45,Jul
2021,8,4381.210038396928,1394.57,7215.7,Aug
2021,9,3965.2877092241906,1454.34,6854.0,Sep
2021,10,3310.4132634912903,1454.15,6650.57,Oct
2021,11,2979.8403410757946,1409.46,6557.18,Nov
2021,12,3171.9136046511626,1390.33,6490.27,Dec
2022,1,3450.9705549497153,1411.75,6439.85,Jan
2022,2,3230.0301797247967,1380.57,6508.91,Feb
2022,3,3513.8834169724228,1447.83,6611.06,Mar
2022,4,4392.40243380486,1515.91,6605.91,Apr
2022,5,4678.852500623286,1507.76,7045.01,May
2022,6,4819.930731736243,1482.27,7673.23,Jun
2022,7,4681.665798459564,1461.61,7341.44,Jul
2022,8,4552.132158991639,1302.08,7470.34,Aug
2022,9,4157.569069853852,1309.3,7178.3,Sep
2022,10,3424.759853162215,1338.29,7117.37,Oct
2022,11,3275.3224284666176,1478.91,6968.5,Nov
2022,12,3469.5723251915706,1483.57,7012.45,Dec
2023,1,3448.7388940682904,1421.17,6808.78,Jan
2023,2,3190.5365689633295,1463.61,7069.56,Feb
2023,3,3304.515691708658,1598.35,6953.4,Mar
2023,4,3884.1053819894055,1599.32,6693.19,Apr
2023,5,4320.982795955465,1488.38,6957.41,May
2023,6,4770.827773188576,1481.53,7212.63,Jun
2023,7,4776.386872872403,1548.21,7362.94,Jul
2023,8,4813.931873341792,1548.71,7409.94,Aug
2023,9,4590.2255602887235,1533.48,6734.46,Sep
2023,10,3608.105990846682,1515.05,6609.33,Oct
2023,11,3241.309042818171,1559.08,6627.29,Nov
2023,12,3417.570286947393,1556.71,6812.37,Dec
2024,1,3987.341880560634,1605.9,7913.68,Jan
2024,2,3541.5713460046545,1543.2,7337.83,Feb
2024,3,3557.9931536806885,1712.42,7876.41,Mar
2024,4,4223.679707377558,1648.88,7809.14,Apr
2024,5,5543.257322215604,1598.26,8254.3,May
2024,6,5590.680213553882,1640.75,8631.53,Jun
2024,7,5377.002144160583,1603.83,8163.08,Jul
2024,8,4878.867412240184,1644.67,7340.87,Aug
2024,9,4620.071605750488,1519.9,7111.85,Sep
2024,10,4138.028898175397,1560.79,7430.38,Oct
2024,11,3525.3826415555827,1573.36,7652.97,Nov
2024,12,4403.539621236647,1568.03,7759.41,Dec
