datetime,Power demand,Predicted demand,Year,Month,Month_Num
2021-01-01,3240.747397864438,3252.0974,2021,1,Jan
2021-02-01,2914.2325882352943,2945.1062,2021,2,Feb
2021-03-01,3094.1968026435734,3113.8325,2021,3,Mar
2021-04-01,3173.529270449521,3187.264,2021,4,Apr
2021-05-01,3158.1084897769515,3188.6794,2021,5,May
2021-06-01,4256.743701282684,4266.88,2021,6,Jun
2021-07-01,4205.194913595934,4227.5537,2021,7,Jul
2021-08-01,4381.210038396928,4407.103,2021,8,Aug
2021-09-01,3965.2877092241906,3979.044,2021,9,Sep
2021-10-01,3310.4132634912903,3317.405,2021,10,Oct
2021-11-01,2979.8403410757946,3007.5974,2021,11,Nov
2021-12-01,3171.9136046511626,3179.2285,2021,12,Dec
2022-01-01,3450.9705549497153,3451.2756,2022,1,Jan
2022-02-01,3230.0301797247967,3235.0056,2022,2,Feb
2022-03-01,3513.8834169724228,3512.512,2022,3,Mar
2022-04-01,4392.40243380486,4390.831,2022,4,Apr
2022-05-01,4678.852500623286,4676.016,2022,5,May
2022-06-01,4819.930731736243,4809.578,2022,6,Jun
2022-07-01,4681.665798459564,4673.5337,2022,7,Jul
2022-08-01,4552.132158991639,4537.492,2022,8,Aug
2022-09-01,4157.569069853852,4152.47,2022,9,Sep
2022-10-01,3424.759853162215,3418.499,2022,10,Oct
2022-11-01,3275.3224284666176,3262.437,2022,11,Nov
2022-12-01,3469.5723251915706,3452.4849,2022,12,Dec
2023-01-01,3448.7388940682904,3424.3406,2023,1,Jan
2023-02-01,3190.5365689633295,3182.8167,2023,2,Feb
2023-03-01,3304.515691708658,3281.098,2023,3,Mar
2023-04-01,3884.1053819894055,3874.4175,2023,4,Apr
2023-05-01,4320.982795955465,4308.1255,2023,5,May
2023-06-01,4770.827773188576,4755.653,2023,6,Jun
2023-07-01,4776.386872872403,4751.9834,2023,7,Jul
2023-08-01,4813.931873341792,4800.8447,2023,8,Aug
2023-09-01,4590.2255602887235,4581.294,2023,9,Sep
2023-10-01,3608.105990846682,3569.417,2023,10,Oct
2023-11-01,3241.309042818171,3214.6401,2023,11,Nov
2023-12-01,3417.570286947393,3397.828,2023,12,Dec
2024-01-01,3987.341880560634,3896.2383,2024,1,Jan
2024-02-01,3541.5713460046545,3484.8909,2024,2,Feb
2024-03-01,3557.9931536806885,3520.9812,2024,3,Mar
2024-04-01,4223.679707377558,4191.435,2024,4,Apr
2024-05-01,5543.257322215604,5439.5303,2024,5,May
2024-06-01,5590.680213553882,5456.0884,2024,6,Jun
2024-07-01,5377.002144160583,5295.306,2024,7,Jul
2024-08-01,4878.867412240184,4837.8936,2024,8,Aug
2024-09-01,4620.071605750488,4567.705,2024,9,Sep
2024-10-01,4138.028898175397,4105.466,2024,10,Oct
2024-11-01,3525.3826415555827,3463.5054,2024,11,Nov
2024-12-01,4403.539621236647,4318.517,2024,12,Dec
